ID,NAME,LAT,LONG,ELEVATION
430111,AF_430111_TMP,5.6754198,0.0245833,18.9818001
430140,AF_430140_TMP,5.72542,0.0245833,32.3792992
430141,AF_430141_TMP,5.72542,0.0745833,1.3099999
430171,AF_430171_TMP,5.7754202,0.0245833,37.1946983
430172,AF_430172_TMP,5.7754202,0.0745833,11.7040005
430205,AF_430205_TMP,5.8254199,0.0245833,37.2565994
430206,AF_430206_TMP,5.8254199,0.0745833,28.7747993
430239,AF_430239_TMP,5.8754201,0.0245833,32.7876015
430240,AF_430240_TMP,5.8754201,0.0745833,43.6408997
